 T, m
   2.970600     ,  0.1098579    
   2.972400     ,  0.1108862    
   2.974200     ,  0.1120741    
   2.976000     ,  0.1112435    
   2.977800     ,  0.1098308    
   2.979600     ,  0.1107403    
   2.981400     ,  0.1110048    
   2.983200     ,  0.1097694    
   2.985000     ,  0.1095582    
   2.986800     ,  0.1114962    
   2.988600     ,  0.1086640    
   2.990400     ,  0.1097165    
   2.992200     ,  0.1114475    
   2.994000     ,  0.1096683    
   2.995800     ,  0.1084720    
   2.997600     ,  0.1075786    
   2.999400     ,  0.1079069    
   3.001200     ,  0.1089854    
   3.003000     ,  0.1096594    
   3.004800     ,  0.1093612    
   3.006600     ,  0.1083038    
   3.008400     ,  0.1083118    
   3.010200     ,  0.1076420    
   3.012000     ,  0.1060520    
   3.013800     ,  0.1070045    
   3.015600     ,  0.1066250    
   3.017400     ,  0.1069122    
   3.019200     ,  0.1063510    
   3.021000     ,  0.1064354    
   3.022800     ,  0.1055548    
   3.024600     ,  0.1063919    
   3.026400     ,  0.1043537    
   3.028200     ,  0.1053340    
   3.030000     ,  0.1075166    
   3.031800     ,  0.1067908    
   3.033600     ,  0.1045014    
   3.035400     ,  0.1043816    
   3.037200     ,  0.1064401    
   3.039000     ,  0.1043895    
   3.040800     ,  0.1068683    
   3.042600     ,  0.1070928    
   3.044400     ,  0.1054121    
   3.046200     ,  0.1054051    
   3.048000     ,  0.1049745    
   3.049800     ,  0.1049412    
   3.051600     ,  0.1039011    
   3.053400     ,  0.1040682    
   3.055200     ,  0.1050624    
   3.057000     ,  0.1043133    
   3.058800     ,  0.1028584    
   3.060600     ,  0.1024354    
   3.062400     ,  0.1019363    
   3.064200     ,  0.1033603    
   3.066000     ,  0.1045687    
   3.067800     ,  0.1022242    
   3.069600     ,  9.9979758E-02
